@relation waterQuality

@attribute aluminium numeric
@attribute ammonia numeric
@attribute arsenic numeric
@attribute barium numeric
@attribute cadmium numeric
@attribute chloramine numeric
@attribute chromium numeric
@attribute copper numeric
@attribute flouride numeric
@attribute bacteria numeric
@attribute viruses numeric
@attribute lead numeric
@attribute nitrates numeric
@attribute nitrites numeric
@attribute mercury numeric
@attribute perchlorate numeric
@attribute radium numeric
@attribute selenium numeric
@attribute silver numeric
@attribute uranium numeric
@attribute is_safe {No,no,Yes,yes,Unknown}

@data
3.07,13.91,0.03,3.89,0.004,6.57,0.87,1.57,0.13,0.59,0.59,0.086,10.12,1.89,0.009,37.89,0.78,0.06,0.48,0.07,no
0.08,21.63,0.02,1.87,0.003,0.45,0.57,0.75,1.25,0.28,0.002,0.083,15.32,1.01,0.005,13.3,4.32,0.05,0.29,0.04,No
0,3.56,0.03,2.75,0.006,5.43,0.53,0.96,0.02,0.63,0.63,0.042,11.36,1.96,0.009,38.71,6.67,0.09,0.27,0.04,No
3.02,8.27,0.41,2.77,0.12,0.76,0.69,1.05,0.8,0.1,0.003,0.197,18.99,1.09,0.008,24.7,4.25,0.05,0.22,0.01,No
0.05,28.55,0.03,3.2,0.006,6.25,0.88,1.23,1.48,0.57,0.57,0.106,6.4,1.03,0.005,48.88,7.71,0.09,0.09,0.04,No
0.05,1.09,0.05,0.06,0,0.41,0,0.02,0.52,0,0.003,0.088,0.86,0.61,0.007,6.57,2.26,0.01,0.1,0.01,No
0.05,25.32,0.03,1.03,0.005,2.46,0.24,0.31,1.1,0.06,0.005,0.072,3.36,1.74,0.008,4.51,7.32,0.02,0.12,0.09,No
0.457322,6.759601,0.099225,?,0.111876,6.082217,0.002394,0.581457,1.428381,0.392828,0.517613,0.049274,0.893342,0.447103,0.007428,44.47167,5.139679,0.014196,0.23186,0.036465,Yes
0.07,27.15,0.07,1.93,0.01,0.57,0.01,0.03,0.2,0,0.69,0.104,5.13,0.35,0.006,2.61,2.87,0.03,0.02,0.08,No
1.27,20.31,0.44,4.18,0.07,4.46,0.08,0.95,1.46,0,0.008,0.181,9.8,1.67,0.006,6.05,7.35,0.06,0.18,0.02,No
0.68,28.29,0.03,3.45,0.005,3.83,0.04,1.04,1.36,0,0,0.161,12.25,1.27,0.008,13.93,6.59,0.06,0.11,0.04,Yes
0.1,6.36,0.01,2.74,0.03,0.48,0.06,0.33,0.22,0.31,0.008,0.163,11.01,1.1,0.007,3.68,0.27,0.04,0.02,0.06,No
0.09,0.01,0.06,0.37,0.08,0.17,0.06,1.74,0.97,0.24,0.004,0.199,14.34,1.7,0.006,0.08,0.29,0.07,0.02,0.08,No
0.1,14.18,0.04,0.03,0.03,0.14,0.03,0.31,1.1,0,0,0.072,3.83,1.89,0.008,5.22,6.97,0.02,0.08,0.09,No
0.01,4.75,0.02,0.03,0.09,0.34,0.02,0.85,0.24,0.49,0.001,0.021,12.27,1.69,0.004,1.22,0.95,0.02,0.08,0.05,No
0.07,16.88,0.51,2.49,0.05,5.58,0.16,0.02,0.12,0.87,0.87,0.143,14.42,1.92,0.009,0.79,2.74,0.07,0.24,0.02,No
0.88,11.12,0.04,0.92,0.009,4.59,0.85,1.1,1.48,0.75,0.75,0.147,8.25,1.38,0.007,10.75,1.2,0.02,0.27,0.02,Yes
0.1,10.15,0.08,0.23,0.06,0.32,0.04,0.22,0.79,0,0.59,0.119,14.73,1.35,0.001,1.85,2.2,0.08,0.09,0.05,No
2.78228,16.30431,0.204028,2.01298,0.115996,8.410934,0.134374,1.107052,1.189974,0.728241,0.721082,0.05233,0.862684,0.373579,0.001464,35.645593,2975.093701,0.070511,0.373681,0.059759,Yes
0.08,9.06,0,0.64,0.09,0.09,0.05,1.7,0.29,0.78,0.78,0.185,12.75,1.66,0.006,1.68,0.81,0.03,0.04,0.04,No
0.2,21.02,0.53,0.75,0.08,2.16,0.25,0.05,1.09,0.34,0.005,0.084,6.61,2.07,0.001,22.17,4.6,0.06,0.04,0.01,Yes
0.04,10.84,0.06,0.49,0.04,0.08,0.03,0.08,0.49,0,0,0.151,14.44,1,0.003,0.34,2.16,0.06,0.03,0.05,Yes
0.05,16.05,0.01,0.29,0.006,5.07,0.19,1.64,0.61,1,1,0.038,11.26,1.49,0.006,45.26,4.33,0.02,0.28,0.08,No
0.01,8.46,0.05,0.25,0.1,0.05,0.08,1.33,0.71,0.66,0.66,0.014,7.64,1.55,0.006,7.78,5.49,0.01,0.04,0.02,No
0.08,18.4,0.08,0.32,0.05,0.14,0.05,0.38,0.47,0.04,0.007,0.176,18.79,1.54,0.008,1.35,4.84,0.06,0.08,0.02,No
0.06,21.63,0.03,2.52,0.009,5.02,0.79,1.49,0.65,0.63,0.63,0.16,13.24,1.21,0.003,37.88,6.82,0.02,0.34,0.01,No
2.59,27.54,0.001,1.19,0.009,7.14,0.38,1.24,0.14,0.51,0.51,0.032,18.58,1.42,0,38.05,1.74,0.03,0.15,0.01,no
0.05,26.02,0.1,0.62,0.06,0.16,0.04,1.62,1.48,0.99,0.99,0.162,1.6,1.38,0.003,10.4,6.19,0.02,0.05,0.04,No
0.06,28.33,0.01,0.82,0.02,0.54,0.07,0.75,1.29,0,0.001,0.134,13.2,0.74,0.005,6.75,2,0.08,0.01,0.05,No
0.96,5.11,0.001,1.17,0.006,0.2,0.18,0.18,0.37,0.03,0.008,0.081,10.84,1.82,0.007,0.9,2.77,0.03,0.43,0.03,yes
2.61,20.18,0.03,3.5,0.005,2,0.13,1.43,1.34,0.76,0.76,0.069,6.71,1.19,0.002,38.64,2.6,0,0.37,0.03,No
0.09,27.07,0.04,0.71,0,0.26,0.02,0.1,1.44,0,0.002,0.154,2.17,0.08,0.007,4.64,2.11,0.01,0.05,0.05,No
0.01,25.85,0.96,0.92,0.03,0.18,0.18,1.44,0.3,0.18,0.004,0.162,2.69,1.67,0.008,6.4,5.41,0.01,0.32,0,No
4.16,19.75,0.34,2.88,0.1,7.03,0.1,0.78,0.06,0.54,0.54,0.081,3.49,1.72,0.007,10.39,7.78,0.05,0.09,0.06,No
3.32,3.5,0.54,3.17,0.08,5.92,0.15,0.6,1.29,0,0,0.145,8.85,1.33,0.006,21.71,7.8,0.05,0.33,0.06,no
0.83,25.84,0.5,1.36,0.11,2.1,0.54,0.53,0.05,0,0.002,0.018,11.56,1.98,0.005,45.81,4.62,0.05,0.12,0.05,No
0.07,21.52,0.1,0.35,0,0.07,0.08,0.29,0.51,0.86,0.86,0.048,1.96,1.68,0.005,3.83,2.91,0.07,0.02,0.07,No
0.05,4.78,0.01,1.82,0.001,2.13,0.46,1.83,0.79,0.7,0.7,0.122,1.45,1.53,0.01,50.82,2,0.09,0.28,0,No
0.03,11.12,0.07,2.82,0.04,0.11,0.09,0.05,0.23,0,0.007,0.166,16.15,0.77,0.003,3.16,3.8,0.07,0.03,0.07,No
1.14,2.59,0.04,3.81,0.003,1.63,0.58,1.35,1.06,0.22,0.007,0.069,11.78,1.55,0.005,32.91,2.78,0.07,0.16,0.03,Yes
0.22,6.52,0.02,0.42,0.004,0.38,0.47,1.58,0.43,0.98,0.98,0.187,8.88,1.77,0.001,32.92,4.49,0.06,0.46,0.07,No
1,29.37,0.32,3.76,0.01,4.93,0.82,1.76,0.33,0,0,0.126,5.13,1.62,0.008,35.49,3.18,0.05,0.12,0.08,no
0.1,14.56,0.02,0.94,0.05,0,0.09,0.03,0.37,0,0.004,0.118,17.14,0.69,0.006,0.82,1.65,0.09,0.03,0.03,no
0.05,27.98,0.01,0.89,0.08,0.28,0.1,0.8,0.91,0.15,0.008,0.05,9.65,1.42,0.005,0.82,6.86,0.09,0,0.01,No
1.99,26.85,0.001,1.03,0.005,7.31,0.25,1.57,1.17,0.62,0.62,0.09,18.01,1,0.002,23.86,3.74,0.08,0.2,0.02,No
3.86,11.02,0.01,3.64,0.003,3.83,0.14,1.04,1.39,0.07,0.006,0.176,3.45,1.15,0.008,53.68,6.42,0.03,0.43,0.05,No
0.09,23.35,0.1,0.03,0.08,0.4,0.06,0.02,1.03,0,0.009,0.137,10.15,0.19,0.002,2.22,0.33,0.06,0.07,0.02,No
3.61906,21.712427,0.842666,2.189186,0.126429,1.364199,0.847826,1.05446,0.579268,0.800651,0.07145,0.137068,15.902651,2.859118,0.002955,27.353153,1.878914,77.228973,0.104148,0.042067,Yes
0.03,26.33,0.04,0.94,0.07,0.03,0.08,0.07,1.48,0,0.99,0.162,1.6,0.16,0.003,1.54,2.51,0.02,0.07,0.04,No
0.09,18.65,0.1,0.99,0.07,0.09,0.06,0.03,0.63,0,0,0.005,15.81,1.55,0.01,0.43,7.59,0,0.07,0.06,No
0.1,26.15,0.02,0.16,0.06,0.15,0.04,1.54,1.14,0,0,0.136,8.36,1.5,0.008,1.46,0.01,0.04,0.02,0.02,No
0.02,3.95,0.09,0.55,0.08,0.07,0.01,0.68,1.36,0,0,0.126,1.78,1.69,0.007,0.18,0.06,0.01,0.09,0.08,No
0.07,25.49,0.05,3.33,0,1.62,0.86,0.66,1,0.67,0.67,0.182,12.46,1.3,0.004,47.71,1.27,0.07,0.4,0,No
3.36,2.5,0.03,3.15,0.006,3.25,0.86,1.79,0.59,0.25,0.008,0.03,12.8,1.68,0.006,19.09,4.23,0.08,0.39,0.04,Yes
2.55,10.15,0.4,2.11,0.12,3.25,0.52,1.89,1.18,0,0,0.092,7.86,1.69,0.002,22.92,3.4,0.07,0.29,0.07,No
2.281774,26.918057,0.670279,4.853435,0.111744,0.615259,0.124236,0.82114,1.480932,0.362332,0.234607,0.189508,17.278474,0.196499,0.008981,3.150353,7.115972,37.238823,0.237305,0.078323,Yes
0.01,19.07,0.04,1.18,0.009,4.69,0.65,0.73,0.82,0.7,0.7,0.122,2.16,1.55,0.007,40.53,2.87,0.1,0.01,0.04,Yes
3.09,8.21,0.001,3.35,0.002,4.37,0.33,1.94,0.78,0.89,0.89,0.101,12.11,1.51,0.008,56.34,7.62,0.02,0.33,0.04,No
0.04,0.29,0.08,1.12,0.04,0.06,0.08,0.31,1.29,0.56,0.56,0.026,17.85,1.77,0.002,9.31,0.43,0.02,0.1,0.08,No
0.07,17.69,0.02,0.84,0.1,0.01,0.04,0.22,1.09,0.57,0.57,0.101,10.34,1.04,0.001,0.68,0.53,0.04,0.07,0.01,no
0.02,12.42,0.06,0.67,0.1,0.04,0.03,1.56,0.25,0.54,0.54,0.023,8.92,0.56,0.008,6.14,0.58,0.03,0.01,0.09,No
0.06,14.04,0.08,1.03,0.02,0.05,0.09,0.16,1.01,0.76,0.76,0.168,18.17,1.24,0.009,4.84,2.32,0.07,0.1,0,No
0.07,19.96,0.03,3.02,0.008,4.4,0.89,0.38,0.02,0.76,0.76,0.121,7.47,1.37,0.008,29.55,3.29,0.07,0.26,0.09,No
4.67,8.6,0.89,4.11,0.1,2.19,0.71,0.7,0.32,0,0,0.168,2.49,1.25,0.003,34.41,1.44,0.09,0.31,0.01,No
0.07,23.59,0.01,3.6,0.001,3.37,0.11,1.17,0.27,0.26,0.005,0.013,17.62,1.97,0.001,54.7,4.29,0.02,0.42,0.08,no
4.1,6.26,0.01,3.59,0.004,2.51,0.11,0.86,1.31,0,0,0.046,4.27,1.37,0.008,18.38,5.37,0.02,0.21,0,yes
0.03,20.36,0.24,1.08,0.12,5.48,0.61,0.05,0.02,0.49,0.007,0.194,12.33,1.11,0.008,45.07,1.5,0.06,0.21,0.02,No
0.53,4.86,0.001,2.19,0.001,1.51,0.26,1.28,0.99,0.42,0.002,0.165,4,1.07,0.005,29.27,5.69,0.02,0.28,0.06,Yes
0.09,12.45,0.02,0.45,0.04,0.25,0.08,1.91,0.96,0.14,0.002,0.132,16.39,1.36,0.01,10.54,0.14,0.02,0.08,0.02,No
0.01,20.75,0.001,2.52,0.007,2.98,0.08,1.55,0.14,0.89,0.89,0.041,2.29,1.61,0.008,1.49,3.44,0.01,0.22,0.02,No
4.32,8.3,0.34,2.6,0.07,5.21,0.2,0.37,0.36,0,0.002,0.06,0.44,1.69,0.003,14.35,0.6,0.04,0.31,0.06,no
0.02,11.63,0,0.71,0.09,0.12,0.06,0.3,0.14,0,0,0.044,6.23,1.58,0,2.12,0.4,0.06,0.06,0.07,No
0.08,23.89,0.69,1.51,0.13,2.86,0.24,0.03,1.16,0.85,0.85,0.114,1.55,1.57,0.005,22.34,4.16,0.05,0.49,0.06,No
0.03,28.45,0.66,1.76,0.02,3.1,0.6,0.42,1.13,0.05,0.004,0.053,12.55,1.62,0.006,50.53,1.29,0.08,0.12,0.04,no
0.08,20.23,0.65,1.21,0.05,7.47,0.55,0.06,1.09,0.65,0.65,0.001,3.33,1.31,0.005,29.42,6.08,0.08,0.48,0.04,no
1.41,17.44,0.66,3.07,0.05,2.22,0.3,0.27,0.61,0,0.65,0.137,7.84,2.27,0,10.52,0.41,0.02,0.2,0.06,No
2.979571,9.465131,0.144575,0.735504,0.011786,0.891271,0.445512,1.686619,1.064707,0.063492,0.883708,0.101448,12245.95543,0.95087,0.00715,15.192913,6.065692,0.020097,0.069717,0.052259,Yes
0.09,5.6,0.02,0.3,0.02,0.38,0.04,1.44,0.63,0.23,0.004,0.162,16.59,1.89,0.003,2.13,1.15,0.02,0.08,0.02,No
0.62,28.89,0.03,2.45,0.003,7.12,0.06,0.66,0.03,0.62,0.62,0.024,1.42,1.57,0.01,2.63,5.82,0.02,0.17,0.03,Yes
0.18,9.96,0.29,0.92,0.05,6.72,0.19,0.03,1.35,1,1,0.158,0.91,1.47,0.009,21.08,4.71,0.01,0.22,0.07,No
1.7,8.98,0.31,3.52,0.01,0.72,0.83,0.17,0.05,0,0,0.054,16.86,1.28,0.007,32.64,6.78,0.08,0.34,0.02,No
0.02,8.96,0.95,3.99,0.01,6.95,0.43,0.02,0.32,0.29,0.008,0.198,16.39,2.36,0.001,18.68,4.9,0.06,0.16,0.01,No
0.08,5.38,0.29,4.24,0.06,5.24,0.15,1.38,1.39,0.87,0.87,0.047,3.38,1.28,0.001,16.58,7.35,0.09,0.44,0.08,No
4.23,11.49,0.05,3.36,0.001,4.37,0.88,1.33,0.58,0.26,0.009,0.022,17.31,1.47,0.003,48.33,5.49,0.07,0.34,0.01,No
0.06,11.85,0.09,0.12,0.01,0.08,0.03,0.29,0.66,0,0,0.048,5.18,2.03,0,4.62,0.86,0.02,0.04,0.05,No
1.21,0.65,0.04,0.7,0.007,1.83,0.56,1.59,0.13,0.17,0,0.076,9.75,1.21,0.01,5.67,1.45,0.05,0.12,0.02,Yes
0.18,12.65,0.03,3.37,0.004,7.25,0.84,1,0.14,0.36,0.005,0.1,14.38,2,0.005,15.29,1.8,0.04,0.29,0.03,Yes
0.03,18.55,0.01,0.51,0.04,0.17,0.03,1.03,1.15,0.5,0.5,0.099,17.49,0.05,0.006,4.77,0.88,0.02,0.01,0.02,No
0.37,12.36,1.02,2.49,0.1,6.62,0.8,1.8,1.46,0.31,0.004,0.113,10.29,1.24,0.006,19.71,3.95,0.09,0.44,0.07,No
0.01,13.95,0.06,2.4,0.04,0.02,0.1,1.64,1.39,0.3,0.005,0.156,15.69,1.22,0.003,2.79,0.89,0.03,0,0.06,no
0.63665,2.96727,0.658838,3.304715,0.017924,5.160545,0.489914,0.302624,1.093297,0.798731,0.414882,0.025241,6.297568,1.043358,0.007185,21.63654,5.05535,0.038422,?,0.067072,No
0,22.91,0.02,0.57,0.006,4.06,0.37,1.76,0.69,0,0,0.054,10.51,1.19,0.007,0.8,6.7,0.09,0.37,0.04,Yes
0.11,22.15,0.68,4.27,0.08,6.55,0.54,0.81,1.25,0.15,0.002,0.156,8.24,1.46,0.007,41.47,2.19,0.09,0.37,0.04,No
0.09,22.29,0.24,1.8,0.06,3.41,0.19,0.09,0.47,0.67,0.67,0.042,1.08,1.87,0.008,10.59,2.28,0.1,0.35,0.08,no
4.31,24.63,0.01,1.02,0.008,7.35,0.52,1.83,0.77,0.67,0.67,0.089,11.26,1.14,0.001,35.65,4.3,0.1,0.16,0.07,No
0,19.9,0.09,1.02,0.03,0.04,0.04,0.42,0.07,0.78,0.78,0.196,10.17,1.69,0.005,2.47,0.19,0.07,0.09,0.03,No
2.62,29.2,0.01,2.96,0.006,0.59,0.27,1.73,0.06,0.42,0.003,0.064,15.42,1.99,0.004,35.48,7.88,0.06,0.05,0.01,No
2.75,26.64,0.001,0.19,0.004,1.67,0.77,0.05,1.43,0.92,0.92,0.04,4.18,1.85,0.007,53.91,2.01,0.01,0.23,0.01,No
0.03,20.19,0.04,3.34,0.007,5.23,0.86,1.94,0.8,0.32,0.004,0.124,12.77,1.54,0.01,56.44,1.51,0.01,0.27,0.04,No
0.05,5.96,0.01,1.01,0.05,0.35,0.08,1.04,0.63,0.09,0.007,0.179,7.76,1.46,0.001,1.86,0.7,0.04,0.03,0.09,No
0.08,2.81,0.08,0.69,0.09,0.01,0.03,0.2,0.64,0,0.007,0.132,4.67,0.53,0.004,8.12,2.49,0.06,0.04,0.04,yes
0.09,14.82,0.09,0.49,0.08,0.31,0.03,1.47,0.15,0,0.002,0.085,18.95,0.99,0.001,0.89,2.58,0.05,0.08,0.07,No
3.79,19.33,0.04,3.89,0.001,3.96,0.6,1.38,0.84,0.15,0.001,0.165,13.2,1.21,0.009,19.26,4.13,0.01,0.48,0.01,Yes
0.12,23.3,0.04,0.03,0.007,0.71,0.28,1.23,0.66,0,0,0.155,16.93,1.41,0.002,52.49,7.2,0.07,0.14,0.04,no
0.02,26.19,0.02,2.93,0.005,3.96,0.4,0.76,1.05,0.4,0.007,0.185,13.73,1.98,0.003,5.89,2.53,0.05,0.41,0.07,No
4.77,3.82,0.04,0.58,0.002,0.71,0.1,1.6,0.83,0.68,0.68,0.153,4.98,1.73,0.009,14.31,7.22,0.05,0.49,0.05,Yes
0.09,28.34,0.05,0.32,0.01,0.07,0.03,1.51,0.36,0,0.78,0.159,13.51,0.36,0.008,2.15,0.45,0.07,0.02,0.07,No
0.05,1.18,0.08,1,0.09,0.07,0.07,1.49,0.65,0,0,0.092,7.2,1.56,0.002,8.27,0.85,0.04,0.07,0.04,No
0.05,22.27,0.07,0.58,0.09,0.02,0.03,0.03,0.47,0,0.67,0.042,0.61,0.99,0.008,9.8,0.54,0.1,0.05,0.08,No
0.08,22.89,0.03,0.94,0.02,0.38,0.08,0.09,1.38,0,0.003,0.191,18.27,0.9,0.009,4.37,1.61,0.05,0.06,0.02,No
0.09,7.36,0.09,0.34,0.07,0.08,0.03,0.99,0.08,0.52,0.52,0.022,12.53,0.21,0.009,2.88,3.39,0.05,0.05,0.07,No
0.05,7,0.06,0.62,0.06,0.04,0.04,1.65,0.8,0.54,0.54,0.163,10.42,1.76,0.008,1.35,0.83,0.01,0.03,0,No
0.04,19.88,0.04,0.77,0.01,0.22,0.05,1.23,0.51,0.57,0.57,0.176,3.88,1.02,0.001,5.51,3.76,0.02,0,0.05,No
0.06,23.51,0.06,0.1,0.04,0.02,0.04,0.07,0.14,0,0.006,0.183,13.53,0.11,0.01,7.04,6.25,0.03,0.03,0.02,No
0.09,19.54,0.7,4,0.11,6.69,0.6,0.79,0.32,0.64,0.64,0.044,1.08,1.45,0.001,20.06,7.8,0.08,0.16,0.05,No
0.06,1.26,0.03,1.56,0.01,0.04,0.09,1.75,0.76,0.26,0.003,0.092,13.79,1.27,0.01,6.81,0.09,0.05,0.04,0.04,No
0.02054,2.267077,0.450857,3.45186,0.120261,6.772897,0.739263,1.646968,0.291788,0.612815,0.479432,0.189412,18.000719,1.745847,?,15.336895,0.888689,0.097703,0.191781,0.080553,Yes
0.01,5.58,0.06,1.27,0.07,0.32,0.05,0.4,0.79,0,0,0.033,14.26,1.77,0.006,6.76,3.59,0.04,0.05,0.02,No
2.06,15,0.67,2.69,0.12,6.57,0.33,0.16,1.01,0,0.76,0.168,18.25,1.06,0.009,30.08,5.31,0.07,0.32,0,No
0.85,3.46,0.47,2.94,0.11,5.55,0.53,0.96,0.02,0.63,0.63,0.042,11.64,2.11,0.009,21.73,6.67,0.09,0.27,0.04,No
0.01,15.17,0.02,1.18,0.007,7.86,0.07,0.54,1.2,0.59,0.59,0.047,18.8,1.43,0.007,10.49,5.18,0.06,0.07,0.02,No
0.09,7.11,0.01,0.46,0.05,0.07,0.01,0.08,0.33,0,0,0.061,1.87,0.43,0.01,6.11,0.84,0.01,0.03,0.02,No
0.03,10.94,0.1,0.38,0.04,0.19,0.07,0.02,1.09,0,0.005,0.151,15.19,0.91,0.006,5.63,0.63,0.07,0.08,0.01,No
0.01,2.7,0.06,1.72,0.02,0.35,0.03,0.96,0.02,0.63,0.63,0.042,12.16,0.38,0.009,2.5,2.09,0.09,0.07,0.04,no
0.09,29.07,0.03,1.31,0,0.1,0,0.75,0.96,0.64,0.64,0.1,17.5,0.88,0.008,11.62,0.74,0.05,0.01,0.08,No
4.39,29.54,0.02,2.5,0.005,4.93,0.62,0.1,0.72,0.39,0.008,0.011,14.95,1.21,0.007,8.56,6.29,0.1,0.29,0.06,yes
0.09,11.68,0.07,0.1,0.09,0.28,0.07,1.73,0.8,0.93,0.93,0.174,16.88,1.45,0.006,3.55,2.72,0.05,0.01,0.07,No
0.05,0.94,0.02,0.89,0,0.41,0.02,1.84,0.75,0.92,0.92,0.142,7.76,1.46,0.004,0.92,1.41,0.02,0.02,0.09,No
0.07,13.74,0.09,0.33,0.1,0.13,0.02,1.21,1.09,0.77,0.77,0.158,1.67,1.03,0.004,0.05,0.4,0.05,0.07,0.08,No
3.62,11.3,0.02,1.51,0.003,5,0.54,0.74,0.54,0.45,0,0.181,12.69,1,0.005,5.01,2.06,0.03,0.15,0,Yes
4.44,20.25,0.04,0.57,0.005,7.81,0.02,0.72,1.45,0.19,0.006,0.11,17.2,1.47,0.008,35.13,6.93,0.02,0.11,0.08,No
0.07,21.81,0.01,0.73,0.09,0.38,0.01,0.28,0.28,0,0,0.137,18.93,0.49,0.009,2.54,0.01,0.1,0.02,0.02,no
0.7,13.86,0.86,4.56,0.09,5.3,0.37,1.64,1.39,0,0.005,0.156,15.86,1.41,0.003,13.95,0.67,0.03,0.21,0.06,No
0.08,19.36,0.05,0.74,0.03,0.3,0.09,1.29,1.04,0.49,0.001,0.079,15.58,1.26,0.005,2.22,0.71,0.01,0.01,0.03,No
0.04,15.4,0.09,0.44,0.08,0.31,0.09,0.61,1.26,0,0,0.162,1.05,1.57,0.008,1.79,2.93,0.05,0.01,0.05,No
0.04,1.17,0.09,1.24,0.07,0.12,0.04,0.55,0.96,0,0.004,0.062,15.18,0.37,0.003,0.15,0.42,0.03,0.02,0.04,No
0.04,0.46,0.07,0.32,0.09,0.1,0.08,1.39,1.12,0.1,0.001,0.108,9.49,1.59,0.009,4.32,3.91,0.02,0.02,0.07,No
0.06,4.79,0.45,3.06,0.06,3.83,0.4,0.08,1.05,0.57,0.57,0.196,7.58,1.47,0.003,32.77,6.43,0.01,0.31,0.08,No
0.02,23.1,0.1,0.42,0.04,0.03,0.06,1.57,0.43,0.04,0.003,0.089,14.77,1.97,0.005,0.46,1.69,0.03,0.04,0.03,No
3.24,19.54,0.82,4.69,0.11,6.7,0.6,0.79,0.32,0,0.64,0.044,0.3,1.39,0.001,20.21,7.8,0.08,0.16,0.05,No
0.13,2.06,0.03,1.64,0.003,4.14,0.35,0.1,1.47,0.9,0.9,0.097,2.42,1.16,0.003,12.17,7.8,0.01,0.11,0.01,No
0.08,21.59,0.1,2.15,0.03,0.08,0.01,0.05,0.03,0,0.002,0.011,6.86,0.22,0.001,0.32,0.07,0.04,0.05,0.07,no
0.05,29.34,0.78,3.55,0.12,0.41,0.16,0,0.98,0.91,0.91,0.187,8.99,1.43,0.004,21.35,1.7,0.02,0.08,0.05,No
0.07,26.26,0.01,0.18,0.004,2.14,0.08,1.81,0.92,0.7,0.7,0.018,0.35,1.7,0.008,2.59,4.98,0.03,0.3,0.01,No
0.02,16.4,0.1,0.23,0.02,0.04,0.06,0.19,0.29,0,0,0.099,12.5,0.15,0.004,2.8,0.65,0.06,0.09,0.07,No
0,2.49,0.1,0.63,0.04,0.12,0.05,1.71,1.35,-0.85,0.85,0.1,13.65,1.23,0.005,0.96,2.54,0.01,0.07,0.09,No
2.71,17.92,0.35,3.61,0.07,2.06,0.59,0.53,0.12,0.66,0.66,0.016,9.1,1.87,0.01,30.22,0.4,0,0.08,0.03,Yes
0.04,10.21,0.01,2.84,0,0.43,0.09,0,0.04,0,0,0.089,7.96,1.94,0,2.42,1.66,0.06,0.05,0.05,no
0.01,0.85,0.06,1.16,0,0,0.05,1.35,1.06,0.22,0.007,0.069,11.8,1.64,0.005,0.54,1.13,0.07,0.05,0.03,No
4.71,26.4,0.05,3.28,0.007,1.54,0.82,1.42,1.29,0.28,0.002,0.01,2,1.44,0.004,6.92,2.54,0.08,0.44,0.07,Yes
0.25,6.71,0.69,1.41,0.01,2.61,0.25,1.09,1.35,0.16,0.002,0.031,17.14,1.8,0.007,55.32,1.15,0.08,0.26,0.08,No
2.13,22.95,0.18,2.66,0.04,4.16,0.59,1.34,0.5,0,0.86,0.087,14.22,1.46,0.007,41.22,5.65,0.01,0.37,0.05,No
0.27,14.49,0.91,3.26,0,0.41,0.27,0,1.01,0.6,0.6,0.04,12.14,1.74,0.007,4.64,4.47,0.02,0.29,0.01,No
0.06,14.28,0.02,0.13,0.03,0.15,0.01,1.28,0.87,0.9,0.9,0.024,13.82,1.29,0.008,0,0.37,0.06,0.07,0.02,No
3.13,28.98,0.02,1.8,0.008,6.25,0.32,0.72,0.53,0,0,0.03,6.98,1.8,0.009,15.09,4.94,0.01,0.39,0.09,Yes
0.08,9.49,0.06,0.13,0.1,0.01,0.09,0.01,0.27,0.08,0,0.131,12.64,1.79,0.001,8.95,6.15,0.02,0.01,0.05,no
1.491361,7.561407,0.202381,3.15869,0.12526,4.577199,0.508705,0.575002,0.662417,0.389461,0.527234,0.139689,7.463551,0.869395,0.005489,2.750981,5.287623,?,0.262072,0.06517,Yes
0.09,21.76,0.09,1.84,0.07,0.09,0.04,0.81,1.25,0.15,0.002,0.156,7.85,1.41,0.007,2.1,0.6,0.09,0.02,0.04,no
0.05,5.58,0.06,0.05,0.09,0.2,0.01,0.09,0.33,0,0.007,0.062,4.91,0.6,0.004,10.06,0.39,0.03,0,0.03,Yes
0.05,14.77,0.06,2,0.1,0.04,0.06,1.08,0.52,0.74,0.74,0.067,5.47,0.67,0,7.69,3.42,0.04,0.08,0.02,No
4.6,10.59,0.47,3.75,0.12,3.46,0.36,0.88,1.13,0.5,0.5,0.03,8.3,2.04,0.006,37.95,2.08,0.09,0.24,0.03,No
0.09,9.87,0.01,3.62,0.003,3.7,0.62,1.15,1.49,0.11,0.001,0.087,15.79,1.91,0.006,16.09,4.27,0.1,0.45,0.07,No
0.29,5.43,0.04,2.34,0.002,4.13,0.7,1.51,0.89,0.55,0.55,0.164,8.49,1.49,0.001,37.15,0.25,0.08,0.01,0.09,No
0.09,26.28,0.03,2.21,0.07,0.07,0.09,1.41,0.92,0.93,0.93,0.075,16.14,1.84,0.005,0.78,4.7,0.05,0.03,0.07,no
1.68,15.65,0.7,3.25,0.03,4.35,0.74,1.35,1.24,0,0,0.193,18.08,1.74,0.001,43.13,1.71,0.09,0.44,0.05,No
0.03,9.91,0.01,2.34,0.008,6.5,0.09,1.76,0.56,0.5,0.5,0.096,6.32,1.43,0.002,32.6,3.54,0.1,0.05,0.01,No
0.23,10.42,0.05,3.89,0.002,6.83,0.2,0.07,0.73,0,0,0.157,10.83,1.84,0.006,16.47,1.34,0.03,0.06,0.04,Yes
0.08,20.38,0.09,1.93,0.06,0.17,0.08,0.05,0.51,0,0.93,0.152,12.2,0.58,0.008,7.08,0.14,0.04,0.09,0.03,No
